year,month,airport,passengers,departures,arrivals
2015,9,IXZ,57436,27749,29687
2015,9,JAI,198807,99548,99259
2015,9,JDH,23669,11678,11991
2015,9,JGA,5793,2926,2867
2015,9,JLR,20672,10419,10253
2015,9,JRH,4075,2012,2063
2015,9,KUU,1548,598,950
2015,9,LKO,201938,95851,106087
2015,9,MAA,850841,436307,414534
2015,9,MYQ,371,263,108
2015,9,NAG,113787,58298,55489
2015,9,PAT,119113,55121,63992
2015,9,PBD,1254,623,631
2015,9,PGH,449,200,249
2015,9,PNQ,415904,209868,206036
2015,9,PNY,703,388,315
2015,9,RAJ,30934,15311,15623
2015,9,RJA,17753,8880,8873
2015,9,RPR,86483,44057,42426
2015,9,SHL,595,284,311
2015,9,STV,2800,1338,1462
2015,9,SXR,185924,91617,94307
2015,9,TCR,8445,4174,4271
2015,9,TEZ,372,191,181
2015,9,TIR,32498,15602,16896
2015,9,TRV,96971,51740,45231
2015,9,TRZ,13677,6996,6681
2015,9,UDR,41040,20228,20812
2015,9,VGA,29093,14894,14199
2015,9,VNS,86087,41368,44719
2015,9,VTZ,131395,65347,66048
2015,10,AGR,56478,2168,54310
2015,10,AGX,1295,607,688
2015,10,AJL,20805,16452,4353
2015,10,AMD,395626,198338,197288
2015,10,ATQ,61006,27961,33045
2015,10,BBI,130608,66457,64151
2015,10,BDQ,69787,35481,34306
2015,10,BHJ,12250,6267,5983
2015,10,BHO,44864,26900,17964
2015,10,BHU,2801,1343,1458
2015,10,BLR,1297419,672615,624804
2015,10,BOM,2279092,1142157,1136935
2015,10,CCJ,26971,13617,13354
2015,10,CCU,886217,418509,467708
2015,10,CJB,149283,63328,85955
2015,10,COK,249929,120136,129793
2015,10,DED,39593,19466,20127
2015,10,DEL,2569590,1289427,1280163
2015,10,DGH,515,332,183
2015,10,DHM,7723,3750,3973
2015,10,DIB,37894,14185,23709
2015,10,DIU,2124,1020,1104
2015,10,DMU,13013,6540,6473
2015,10,GAU,262391,123279,139112
2015,10,GAY,61981,41888,20093
2015,10,GOI,418051,202191,215860
2015,10,GOP,2357,922,1435
2015,10,GWL,838,555,283
2015,10,HBX,3080,1673,1407
2015,10,HJR,23824,6753,17071
2015,10,HYD,793951,431650,362301
2015,10,IDR,146531,82975,63556
2015,10,IMF,109018,65076,43942
2015,10,IXA,75299,38253,37046
2015,10,IXB,99468,51362,48106
2015,10,IXC,132534,68457,64077
2015,10,IXD,4484,2156,2328
2015,10,IXE,77975,38941,39034
2015,10,IXG,12527,6229,6298
2015,10,IXI,282,147,135
2015,10,IXJ,111213,60320,50893
2015,10,IXL,28372,14811,13561
2015,10,IXM,93447,63900,29547
2015,10,IXR,63076,31596,31480
2015,10,IXS,19224,9073,10151
2015,10,IXU,19590,12418,7172
2015,10,IXZ,83801,37362,46439
2015,10,JAI,204035,101971,102064
2015,10,JDH,22856,13337,9519
2015,10,JGA,338,327,11
2015,10,JLR,20676,10258,10418
2015,10,JRH,4202,2030,2172
2015,10,KUU,1972,893,1079
2015,10,LKO,199027,93114,105913
2015,10,MAA,870441,407974,462467
2015,10,MYQ,541,352,189
2015,10,NAG,123437,64043,59394
2015,10,PAT,113091,51618,61473
2015,10,PBD,1350,710,640
2015,10,PGH,844,425,419
2015,10,PNQ,433049,221145,211904
2015,10,PNY,403,204,199
2015,10,RAJ,29496,15415,14081
2015,10,RJA,20923,10178,10745
2015,10,RPR,111578,55472,56106
2015,10,SHL,1398,719,679
2015,10,STV,11560,7382,4178
2015,10,SXR,226352,111578,114774
2015,10,TCR,8144,4025,4119
2015,10,TEZ,225,100,125
2015,10,TIR,32603,16360,16243
2015,10,TRV,136052,64441,71611
2015,10,TRZ,12274,5997,6277
2015,10,UDR,41701,20980,20721
2015,10,VGA,49464,11751,37713
2015,10,VNS,181337,97196,84141
2015,10,VTZ,159412,79451,79961
2015,11,AGR,1291,270,1021
2015,11,AGX,1587,860,727
2015,11,AJL,5890,2973,2917
2015,11,AMD,484511,243369,241142
2015,11,ATQ,81531,38860,42671
2015,11,BBI,156776,76587,80189
2015,11,BDQ,83610,42420,41190
2015,11,BHJ,13101,6386,6715
2015,11,BHO,59625,30492,29133
2015,11,BHU,3045,1391,1654
2015,11,BLR,1313752,657609,656143
2015,11,BOM,2567513,1300374,1267139
2015,11,CCJ,37209,18347,18862
2015,11,CCU,918352,438409,479943
2015,11,CJB,128537,64324,64213
2015,11,COK,273512,134400,139112
2015,11,DED,34422,17206,17216
2015,11,DEL,2994237,1505641,1488596
2015,11,DGH,516,362,154
2015,11,DHM,7188,3573,3615
2015,11,DIB,26619,13365,13254
2015,11,DIU,2617,1174,1443
2015,11,DMU,9629,4851,4778
2015,11,GAU,229735,113804,115931
2015,11,GAY,6515,3206,3309
2015,11,GOI,419644,209390,210254
2015,11,GOP,1283,486,797
2015,11,HBX,4295,2199,2096
2015,11,HJR,8717,5195,3522
2015,11,HYD,814040,409474,404566
2015,11,IDR,133026,67094,65932
2015,11,IMF,60005,30934,29071
2015,11,IXA,79233,42566,36667
2015,11,IXB,100185,50641,49544
2015,11,IXC,129706,64063,65643
2015,11,IXD,3823,1882,1941
2015,11,IXE,75092,37417,37675
2015,11,IXG,11884,5904,5980
2015,11,IXI,323,171,152
2015,11,IXJ,98818,46836,51982
2015,11,IXL,19310,13579,5731
2015,11,IXM,55495,27004,28491
2015,11,IXR,59872,29883,29989
2015,11,IXS,17089,8684,8405
2015,11,IXU,25018,12811,12207
